"cptid","cpt_code","descript_short","descript_med","descript_long"
31,"00604",ANESTH SITTING PROCEDURE,ANES CERVICAL SPINE & CORD W/PATIENT SITTING,Anesthesia for procedures on cervical spine and cord; procedures with patient in the sitting position
159,"23210",RESECT SCAPULA TUMOR,RADICAL RESECTION TUMOR SCAPULA,Radical resection of tumor; scapula
287,"00563",ANESTH HEART SURG W/ARREST,ANES HRT PRCRD SAC & GREAT VSL W/PUMP OXTJ HYPTH,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator with hypothermic circulatory arrest"
415,"01710",ANESTH ELBOW AREA SURGERY,ANES NRV MUSC TDN FSCA&BRS UPR ARM/ELBOW NOS,"Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; not otherwise specified"
56,"00820",ANESTH ABDOMINAL WALL SURG,ANESTHESIA LOWER POSTERIOR ABDOMINAL WALL,Anesthesia for procedures on lower posterior abdominal wall
491,"28112",PART REMOVAL OF METATARSAL,OSTECTOMY COMPLETE OTHER METATARSAL HEAD 2/3/4,"Ostectomy, complete excision; other metatarsal head (second, third or fourth)"
619,"11444",EXC FACE-MM B9+MARG 3.1-4 C,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 3.1 to 4.0 cm"
280,"11001",DEBRIDE INFECTED SKIN ADD-O,DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF,"Debridement of extensive eczematous or infected skin; each additional 10% of the body surface, or part thereof (List separately in addition to code for primary procedure)"
715,"21048",REMOVE MAXILLA CYST COMPLEX,EXC BENIGN TUMOR/CYST MAXL INTRA-ORAL OSTEOT,"Excision of benign tumor or cyst of maxilla; requiring intra-oral osteotomy (eg, locally aggressive or destructive lesion[s])"
843,"21320",CLOSED TX NOSE FX W/ STABLJ,CLOSED TREATMENT NASAL FRACTURE W/STABILIZATION,Closed treatment of nasal bone fracture; with stabilization
